"","X.1","Category","Code","Occupation","Sectors","X2016.National.Employment.Matrix","OCC.Group","Occ.Type","X2016.Current","X2026.Projected","Employment.Percent","X","Change.Number","Change.Percent","Occupational.Openings.2016.26.Annual.Average","OCC.Type","OCC_CODE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"101",101,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Energy Efficiency","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2141","detailed","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"102",102,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Green Construction","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2140","broad","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"103",103,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Green Construction","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2141","detailed","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"104",104,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Renewable Energy Generation","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2140","broad","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"105",105,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Renewable Energy Generation","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2141","detailed","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"106",106,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Research, Design, and Consulting Services","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2140","broad","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"107",107,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Research, Design, and Consulting Services","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2141","detailed","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"108",108,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Transportation","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2140","broad","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"109",109,"Green Enhanced Skills","17-2141.00","Mechanical Engineers","Transportation","Mechanical engineers","17-2141","Line item","288.8","314.1",0.2,0.2,25.3,8.8,21.2,"Line item","17-2141","detailed","303,440",1.4,44.62,"92,800",0.3,27.05,33.37,42,53.14,"65.65","56,270","69,410",132,"110,520","136,550",NA,NA
"110",110,"Green Enhanced Skills","17-2161.00","Nuclear Engineers","Governmental and Regulatory Administration","Nuclear engineers","17-2161","Line item","17.7","18.4",0,0,0.7,3.8,1.4,"Line item","17-2160","broad","15,980",4.3,53.26,"110,790",1.3,32.96,41.27,51.73,62.02,"78.06","68,560","85,840",10,"129,000","162,360",NA,NA
"111",111,"Green Enhanced Skills","17-2161.00","Nuclear Engineers","Governmental and Regulatory Administration","Nuclear engineers","17-2161","Line item","17.7","18.4",0,0,0.7,3.8,1.4,"Line item","17-2161","detailed","15,980",4.3,53.26,"110,790",1.3,32.96,41.27,51.73,62.02,"78.06","68,560","85,840",10,"129,000","162,360",NA,NA
"112",112,"Green Enhanced Skills","17-2161.00","Nuclear Engineers","Research, Design, and Consulting Services","Nuclear engineers","17-2161","Line item","17.7","18.4",0,0,0.7,3.8,1.4,"Line item","17-2160","broad","15,980",4.3,53.26,"110,790",1.3,32.96,41.27,51.73,62.02,"78.06","68,560","85,840",10,"129,000","162,360",NA,NA
"113",113,"Green Enhanced Skills","17-2161.00","Nuclear Engineers","Research, Design, and Consulting Services","Nuclear engineers","17-2161","Line item","17.7","18.4",0,0,0.7,3.8,1.4,"Line item","17-2161","detailed","15,980",4.3,53.26,"110,790",1.3,32.96,41.27,51.73,62.02,"78.06","68,560","85,840",10,"129,000","162,360",NA,NA
"114",114,"Green Enhanced Skills","19-4051.01","Nuclear Equipment Operation Technicians","Renewable Energy Generation",NA,NA,NA,"6.9","6.9",0,0,0.1,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.05,NA,NA,NA,NA,122,NA,NA,NA,NA
"115",115,"Green Enhanced Skills","51-8011.00","Nuclear Power Reactor Operators","Renewable Energy Generation","Nuclear power reactor operators","51-8011","Line item","7","6.3",0,0,-0.7,-10.2,0.5,"Line item","51-8011","detailed","6,280",6.4,45.82,"95,310",1.1,32.79,38.6,45.36,53.4,"61.24","68,200","80,290",140,"111,070","127,370",NA,NA
"116",116,"Green Enhanced Skills","29-9012.00","Occupational Health and Safety Technicians","Manufacturing",NA,NA,NA,"18.1","19.9",0,0,1.8,10.1,1.1,NA,"29-9012","detailed","18,020",1.9,26.57,"55,270",0.7,15.43,18.94,24.41,31.88,"40.58","32,080","39,390",71,"66,300","84,400",NA,NA
