"","X.1","Category","Code","Occupation","Sectors","X2016.National.Employment.Matrix","OCC.Group","Occ.Type","X2016.Current","X2026.Projected","Employment.Percent","X","Change.Number","Change.Percent","Occupational.Openings.2016.26.Annual.Average","OCC.Type","OCC_CODE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"164",164,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Governmental and Regulatory Administration",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3050","broad","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"165",165,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Governmental and Regulatory Administration",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3051","detailed","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"166",166,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Green Construction",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3050","broad","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"167",167,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Green Construction",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3051","detailed","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"168",168,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Research, Design, and Consulting Services",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3050","broad","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"169",169,"Green Enhanced Skills","19-3051.00","Urban and Regional Planners","Research, Design, and Consulting Services",NA,NA,NA,"36","40.6",0,0,4.6,12.8,3.5,NA,"19-3051","detailed","37,840",1.6,36.65,"76,240",0.5,21.72,27.39,35.12,44.32,"54.89","45,180","56,970",118,"92,180","114,170",NA,NA
"170",170,"Green Enhanced Skills","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Research, Design, and Consulting Services",NA,NA,NA,"123.3","120.3",0.1,0.1,-3,-2.5,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.17,NA,NA,NA,NA,100,NA,NA,NA,NA
"171",171,"Green Increased Demand","45-2011.00","Agricultural Inspectors","Agriculture and Forestry","Agricultural inspectors","45-2011","Line item","15.6","16.3",0,0,0.7,4.6,2.2,"Line item","45-2010","broad","13,240",1.4,22.1,"45,970",0.5,13.43,16.25,21.22,25.86,"32.4","27,930","33,810",55,"53,780","67,400",NA,NA
"172",172,"Green Increased Demand","45-2011.00","Agricultural Inspectors","Agriculture and Forestry","Agricultural inspectors","45-2011","Line item","15.6","16.3",0,0,0.7,4.6,2.2,"Line item","45-2011","detailed","13,240",1.4,22.1,"45,970",0.5,13.43,16.25,21.22,25.86,"32.4","27,930","33,810",55,"53,780","67,400",NA,NA
"173",173,"Green Increased Demand","45-2011.00","Agricultural Inspectors","Governmental and Regulatory Administration","Agricultural inspectors","45-2011","Line item","15.6","16.3",0,0,0.7,4.6,2.2,"Line item","45-2010","broad","13,240",1.4,22.1,"45,970",0.5,13.43,16.25,21.22,25.86,"32.4","27,930","33,810",55,"53,780","67,400",NA,NA
"174",174,"Green Increased Demand","45-2011.00","Agricultural Inspectors","Governmental and Regulatory Administration","Agricultural inspectors","45-2011","Line item","15.6","16.3",0,0,0.7,4.6,2.2,"Line item","45-2011","detailed","13,240",1.4,22.1,"45,970",0.5,13.43,16.25,21.22,25.86,"32.4","27,930","33,810",55,"53,780","67,400",NA,NA
"175",175,"Green Increased Demand","17-3011.01","Architectural Drafters","Green Construction",NA,NA,NA,"99.6","107.7",0.1,0.1,8.1,8.1,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,NA,NA,79,NA,NA,NA,NA
"176",176,"Green Increased Demand","47-2011.00","Boilermakers","Energy Efficiency","Boilermakers","47-2011","Line item","17.2","18.7",0,0,1.5,9,1.9,"Line item","47-2010","broad","13,870",4.9,30.41,"63,240",1.1,18.08,24.55,29.88,36.95,"43.24","37,610","51,070",98,"76,870","89,940",NA,NA
"177",177,"Green Increased Demand","47-2011.00","Boilermakers","Energy Efficiency","Boilermakers","47-2011","Line item","17.2","18.7",0,0,1.5,9,1.9,"Line item","47-2011","detailed","13,870",4.9,30.41,"63,240",1.1,18.08,24.55,29.88,36.95,"43.24","37,610","51,070",98,"76,870","89,940",NA,NA
"178",178,"Green Increased Demand","47-2011.00","Boilermakers","Green Construction","Boilermakers","47-2011","Line item","17.2","18.7",0,0,1.5,9,1.9,"Line item","47-2010","broad","13,870",4.9,30.41,"63,240",1.1,18.08,24.55,29.88,36.95,"43.24","37,610","51,070",98,"76,870","89,940",NA,NA
"179",179,"Green Increased Demand","47-2011.00","Boilermakers","Green Construction","Boilermakers","47-2011","Line item","17.2","18.7",0,0,1.5,9,1.9,"Line item","47-2011","detailed","13,870",4.9,30.41,"63,240",1.1,18.08,24.55,29.88,36.95,"43.24","37,610","51,070",98,"76,870","89,940",NA,NA
"180",180,"Green Increased Demand","53-3021.00","Bus Drivers, Transit and Intercity","Transportation",NA,NA,NA,"179.3","195.4",0.1,0.1,16.1,9,24,NA,"53-3021","detailed","174,110",2.4,21.47,"44,650",1.9,12.29,15.32,20.23,27.25,"33.21","25,550","31,870",49,"56,680","69,070",NA,NA
"181",181,"Green Increased Demand","13-1021.00","Buyers and Purchasing Agents, Farm Products","Agriculture and Forestry",NA,NA,NA,"13.7","12.9",0,0,-0.9,-6.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.17,NA,NA,NA,NA,100,NA,NA,NA,NA
"182",182,"Green Increased Demand","47-2051.00","Cement Masons and Concrete Finishers","Green Construction",NA,NA,NA,"182.5","205.5",0.1,0.1,23,12.6,22.8,NA,"47-2051","detailed","186,400",1.6,22.76,"47,350",0.6,13.83,16.61,20.67,27.03,"36.17","28,780","34,550",51,"56,230","75,220",NA,NA
"183",183,"Green Increased Demand","17-2041.00","Chemical Engineers","Research, Design, and Consulting Services","Chemical engineers","17-2041","Line item","32.7","35.1",0,0,2.5,7.5,2.4,"Line item","17-2040","broad","32,060",2.9,55.03,"114,470",1.5,31.2,39.37,50.44,64.1,"81.62","64,890","81,900",7,"133,320","169,770",NA,NA
"184",184,"Green Increased Demand","17-2041.00","Chemical Engineers","Research, Design, and Consulting Services","Chemical engineers","17-2041","Line item","32.7","35.1",0,0,2.5,7.5,2.4,"Line item","17-2041","detailed","32,060",2.9,55.03,"114,470",1.5,31.2,39.37,50.44,64.1,"81.62","64,890","81,900",7,"133,320","169,770",NA,NA
"185",185,"Green Increased Demand","51-9011.00","Chemical Equipment Operators and Tenders","Manufacturing",NA,NA,NA,"74.1","70.4",0,0,-3.7,-5,7.3,NA,"51-9011","detailed","82,880",2.4,24.55,"51,070",0.8,13.96,17.67,23.45,30.47,"37.34","29,050","36,750",67,"63,380","77,660",NA,NA
"186",186,"Green Increased Demand","51-8091.00","Chemical Plant and System Operators","Manufacturing",NA,NA,NA,"33.2","30.1",0,0,-3.1,-9.2,2.8,NA,"51-8091","detailed","28,190",4.5,29.6,"61,570",1.2,16.75,22.33,29.84,36.84,"42.61","34,830","46,450",96,"76,630","88,630",NA,NA
"187",187,"Green Increased Demand","19-4031.00","Chemical Technicians","Manufacturing","Chemical technicians","19-4031","Line item","67.3","70",0,0,2.7,4,6.6,"Line item","19-4030","broad","65,500",1.9,24.84,"51,670",0.6,14.39,17.74,23.15,30.22,"38.03","29,920","36,900",65,"62,860","79,100",NA,NA
"188",188,"Green Increased Demand","19-4031.00","Chemical Technicians","Manufacturing","Chemical technicians","19-4031","Line item","67.3","70",0,0,2.7,4,6.6,"Line item","19-4031","detailed","65,500",1.9,24.84,"51,670",0.6,14.39,17.74,23.15,30.22,"38.03","29,920","36,900",65,"62,860","79,100",NA,NA
"189",189,"Green Increased Demand","19-2031.00","Chemists","Manufacturing","Chemists","19-2031","Line item","88.3","94",0.1,0.1,5.7,6.5,8.6,"Line item","19-2031","detailed","84,560",2.5,40.31,"83,850",1,21.12,27.06,36.97,49.91,"64.03","43,920","56,290",121,"103,820","133,180",NA,NA
"190",190,"Green Increased Demand","19-2031.00","Chemists","Research, Design, and Consulting Services","Chemists","19-2031","Line item","88.3","94",0.1,0.1,5.7,6.5,8.6,"Line item","19-2031","detailed","84,560",2.5,40.31,"83,850",1,21.12,27.06,36.97,49.91,"64.03","43,920","56,290",121,"103,820","133,180",NA,NA
"191",191,"Green Increased Demand","27-1021.00","Commercial and Industrial Designers","Manufacturing",NA,NA,NA,"39.7","41.4",0,0,1.8,4.4,3.9,NA,"27-1021","detailed","33,200",3.1,34.34,"71,430",0.9,18.57,24.84,32.01,42.13,"51.94","38,630","51,670",109,"87,620","108,040",NA,NA
"192",192,"Green Increased Demand","27-1021.00","Commercial and Industrial Designers","Research, Design, and Consulting Services",NA,NA,NA,"39.7","41.4",0,0,1.8,4.4,3.9,NA,"27-1021","detailed","33,200",3.1,34.34,"71,430",0.9,18.57,24.84,32.01,42.13,"51.94","38,630","51,670",109,"87,620","108,040",NA,NA
"193",193,"Green Increased Demand","51-4011.00","Computer-Controlled Machine Tool Operators, Metal and Plastic","Manufacturing",NA,NA,NA,"145.7","147.3",0.1,0.1,1.6,1.1,14.5,NA,"51-4011","detailed","148,150",1.5,20.17,"41,960",0.5,12.93,15.72,19.26,23.99,"29.16","26,890","32,690",42,"49,900","60,650",NA,NA
"194",194,"Green Increased Demand","47-2031.01","Construction Carpenters","Green Construction",NA,NA,NA,"1206","1310.4",NA,NA,NA,1.086567164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,58,NA,NA,NA,NA
"195",195,"Green Increased Demand","43-4051.00","Customer Service Representatives","Research, Design, and Consulting Services","Customer service representatives","43-4051","Line item","2,784.50","2,920.80",1.8,1.7,136.3,4.9,373.5,"Line item","43-4050","broad","2,871,400",0.5,17.53,"36,470",0.2,10.65,12.85,16.23,20.66,"26.59","22,140","26,730",26,"42,970","55,310",NA,NA
"196",196,"Green Increased Demand","43-4051.00","Customer Service Representatives","Research, Design, and Consulting Services","Customer service representatives","43-4051","Line item","2,784.50","2,920.80",1.8,1.7,136.3,4.9,373.5,"Line item","43-4051","detailed","2,871,400",0.5,17.53,"36,470",0.2,10.65,12.85,16.23,20.66,"26.59","22,140","26,730",26,"42,970","55,310",NA,NA
"197",197,"Green Increased Demand","51-4031.00","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Manufacturing",NA,NA,NA,"192.7","175.9",0.1,0.1,-16.8,-8.7,18.9,NA,"51-4031","detailed","186,640",1.3,17.4,"36,180",0.6,11.27,13.41,16.57,20.4,"25.13","23,440","27,900",27,"42,440","52,270",NA,NA
"198",198,"Green Increased Demand","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance","Transportation",NA,NA,NA,"98.6","106.7",0.1,0.1,8.2,8.3,10,NA,"43-5032","detailed","199,880",1.4,20.64,"42,940",0.6,11.81,14.8,18.98,24.65,"31.57","24,560","30,790",40,"51,270","65,660",NA,NA
"199",199,"Green Increased Demand","51-4032.00","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Manufacturing",NA,NA,NA,"12.3","9.9",0,0,-2.4,-19.5,0.9,NA,"51-4032","detailed","11,400",5.3,19.95,"41,490",1.6,12,14.36,18.28,24,"30.13","24,960","29,860",33,"49,930","62,680",NA,NA
"200",200,"Green Increased Demand","51-2022.00","Electrical and Electronic Equipment Assemblers","Manufacturing",NA,NA,NA,"278.7","220.4",0.2,0.1,-58.4,-20.9,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,25,NA,NA,NA,NA
"201",201,"Green Increased Demand","49-2094.00","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Manufacturing",NA,NA,NA,"628.1","621.3",0.4,0.4,-6.7,-1.1,60.8,NA,"49-2094","detailed","59,520",2.1,28.47,"59,210",0.5,17.22,22.21,27.94,33.63,"39.86","35,820","46,190",89,"69,950","82,900",NA,NA
"202",202,"Green Increased Demand","49-2094.00","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Research, Design, and Consulting Services",NA,NA,NA,"628.1","621.3",0.4,0.4,-6.7,-1.1,60.8,NA,"49-2094","detailed","59,520",2.1,28.47,"59,210",0.5,17.22,22.21,27.94,33.63,"39.86","35,820","46,190",89,"69,950","82,900",NA,NA
"203",203,"Green Increased Demand","49-9051.00","Electrical Power-Line Installers and Repairers","Energy Efficiency",NA,NA,NA,"120.9","137.7",0.1,0.1,16.8,13.9,11.7,NA,"49-9051","detailed","114,800",1.7,33.77,"70,240",0.5,18.37,25.16,34.09,42.3,"48.83","38,200","52,340",115,"87,990","101,560",NA,NA
"204",204,"Green Increased Demand","47-2111.00","Electricians","Green Construction","Electricians","47-2111","Line item","666.9","726.5",0.4,0.4,59.6,8.9,82,"Line item","47-2110","broad","655,840",0.8,28.46,"59,190",0.5,15.84,19.84,26.53,34.99,"45.49","32,940","41,260",81,"72,780","94,620",NA,NA
"205",205,"Green Increased Demand","47-2111.00","Electricians","Green Construction","Electricians","47-2111","Line item","666.9","726.5",0.4,0.4,59.6,8.9,82,"Line item","47-2111","detailed","655,840",0.8,28.46,"59,190",0.5,15.84,19.84,26.53,34.99,"45.49","32,940","41,260",81,"72,780","94,620",NA,NA
"206",206,"Green Increased Demand","17-3023.01","Electronics Engineering Technicians","Manufacturing",NA,NA,NA,"137","139.8",0.1,0.1,2.7,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.93,NA,NA,NA,NA,106,NA,NA,NA,NA
"207",207,"Green Increased Demand","51-2031.00","Engine and Other Machine Assemblers","Manufacturing",NA,NA,NA,"38","31.5",0,0,-6.5,-17.2,2.8,NA,"51-2030","broad","48,200",5,21.79,"45,330",1.7,13.74,16.52,21.34,27.09,"30.37","28,590","34,350",56,"56,340","63,170",NA,NA
"208",208,"Green Increased Demand","51-2031.00","Engine and Other Machine Assemblers","Manufacturing",NA,NA,NA,"38","31.5",0,0,-6.5,-17.2,2.8,NA,"51-2031","detailed","48,200",5,21.79,"45,330",1.7,13.74,16.52,21.34,27.09,"30.37","28,590","34,350",56,"56,340","63,170",NA,NA
"209",209,"Green Increased Demand","19-2041.00","Environmental Scientists and Specialists, Including Health","Environment Protection",NA,NA,NA,"128.2","143.3",0.1,0.1,15.1,11.8,13.8,NA,"19-2041","detailed","80,480",1.3,37.3,"77,580",0.8,20.44,25.76,34.2,45.47,"59.91","42,520","53,580",116,"94,590","124,620",NA,NA
"210",210,"Green Increased Demand","25-9021.00","Farm and Home Management Advisors","Environment Protection",NA,NA,NA,"10.4","11.2",0,0,0.8,7.5,1,NA,"25-9020","broad","8,020",5.7,25.33,"52,700",1.6,13,17.84,23.96,31.37,"39.12","27,050","37,110",69,"65,250","81,360",NA,NA
"211",211,"Green Increased Demand","25-9021.00","Farm and Home Management Advisors","Environment Protection",NA,NA,NA,"10.4","11.2",0,0,0.8,7.5,1,NA,"25-9021","detailed","8,020",5.7,25.33,"52,700",1.6,13,17.84,23.96,31.37,"39.12","27,050","37,110",69,"65,250","81,360",NA,NA
"212",212,"Green Increased Demand","45-1011.07","First-Line Supervisors of Agricultural Crop and Horticultural Workers","Agriculture and Forestry",NA,NA,NA,"48.7","49.7",0,0,0.9,1.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57,NA,NA,NA,NA,59,NA,NA,NA,NA
"213",213,"Green Increased Demand","45-1011.05","First-Line Supervisors of Logging Workers","Environment Protection",NA,NA,NA,"69.6","62.4",0,0,-7.3,-10.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57,NA,NA,NA,NA,59,NA,NA,NA,NA
"214",214,"Green Increased Demand","49-1011.00","First-Line Supervisors of Mechanics, Installers, and Repairers","Manufacturing",NA,NA,NA,"462.2","495",0.3,0.3,32.8,7.1,43.4,NA,"49-1010","broad","471,820",0.5,33.33,"69,320",0.2,19.19,24.72,31.8,40.37,"50.01","39,910","51,430",108,"83,980","104,020",NA,NA
"215",215,"Green Increased Demand","49-1011.00","First-Line Supervisors of Mechanics, Installers, and Repairers","Manufacturing",NA,NA,NA,"462.2","495",0.3,0.3,32.8,7.1,43.4,NA,"49-1011","detailed","471,820",0.5,33.33,"69,320",0.2,19.19,24.72,31.8,40.37,"50.01","39,910","51,430",108,"83,980","104,020",NA,NA
"216",216,"Green Increased Demand","51-1011.00","First-Line Supervisors of Production and Operating Workers","Manufacturing",NA,NA,NA,"621.4","619.5",0.4,0.4,-1.8,-0.3,59.3,NA,"51-1010","broad","622,790",0.4,30.93,"64,340",0.2,17.32,22.26,29.05,37.53,"47.84","36,020","46,290",92,"78,060","99,500",NA,NA
"217",217,"Green Increased Demand","51-1011.00","First-Line Supervisors of Production and Operating Workers","Manufacturing",NA,NA,NA,"621.4","619.5",0.4,0.4,-1.8,-0.3,59.3,NA,"51-1011","detailed","622,790",0.4,30.93,"64,340",0.2,17.32,22.26,29.05,37.53,"47.84","36,020","46,290",92,"78,060","99,500",NA,NA
"218",218,"Green Increased Demand","33-3031.00","Fish and Game Wardens","Environment Protection",NA,NA,NA,"7","7.3",0,0,0.3,4.3,0.7,NA,"33-3030","broad","6,040",2.7,28.49,"59,260",0.8,19.28,22.63,27.75,33.61,"38.53","40,090","47,080",87,"69,900","80,140",NA,NA
"219",219,"Green Increased Demand","33-3031.00","Fish and Game Wardens","Environment Protection",NA,NA,NA,"7","7.3",0,0,0.3,4.3,0.7,NA,"33-3031","detailed","6,040",2.7,28.49,"59,260",0.8,19.28,22.63,27.75,33.61,"38.53","40,090","47,080",87,"69,900","80,140",NA,NA
"220",220,"Green Increased Demand","19-4093.00","Forest and Conservation Technicians","Environment Protection",NA,NA,NA,"33.2","34.5",0,0,1.3,3.8,4,NA,"19-4093","detailed","30,220",0.8,19.28,"40,110",0.3,12.79,14.35,17.88,23.3,"27.74","26,600","29,840",30,"48,460","57,700",NA,NA
"221",221,"Green Increased Demand","45-4011.00","Forest and Conservation Workers","Environment Protection",NA,NA,NA,"69.6","62.4",0,0,-7.3,-10.4,8,NA,"45-4010","broad","7,510",5.5,15.06,"31,320",0.9,10.55,10.66,13.2,17.89,"23.18","21,940","22,170",18,"37,200","48,220",NA,NA
"222",222,"Green Increased Demand","45-4011.00","Forest and Conservation Workers","Environment Protection",NA,NA,NA,"69.6","62.4",0,0,-7.3,-10.4,8,NA,"45-4011","detailed","7,510",5.5,15.06,"31,320",0.9,10.55,10.66,13.2,17.89,"23.18","21,940","22,170",18,"37,200","48,220",NA,NA
"223",223,"Green Increased Demand","47-3012.00","Helpers--Carpenters","Green Construction","Helpers--carpenters","47-3012","Line item","36.7","41.4",0,0,4.7,12.8,5.9,"Line item","47-3012","detailed","33,020",3,15.32,"31,850",0.8,10.1,12.11,14.85,17.87,"21.28","21,010","25,180",22,"37,160","44,260",NA,NA
"224",224,"Green Increased Demand","49-9098.00","Helpers--Installation, Maintenance, and Repair Workers","Green Construction",NA,NA,NA,"120.2","133.5",0.1,0.1,13.3,11.1,17,NA,"49-9098","detailed","105,040",1.7,15.09,"31,390",0.5,9.59,11.43,14.16,17.8,"22.42","19,940","23,780",20,"37,030","46,630",NA,NA
"225",225,"Green Increased Demand","19-2043.00","Hydrologists","Environment Protection","Hydrologists","19-2043","Line item","6.7","7.4",0,0,0.7,9.9,0.7,"Line item","19-2043","detailed","6,290",3.4,39.81,"82,790",1.1,23.47,29.46,38.16,48.12,"59.08","48,820","61,280",123,"100,090","122,890",NA,NA
"226",226,"Green Increased Demand","19-2043.00","Hydrologists","Research, Design, and Consulting Services","Hydrologists","19-2043","Line item","6.7","7.4",0,0,0.7,9.9,0.7,"Line item","19-2043","detailed","6,290",3.4,39.81,"82,790",1.1,23.47,29.46,38.16,48.12,"59.08","48,820","61,280",123,"100,090","122,890",NA,NA
"227",227,"Green Increased Demand","17-2112.00","Industrial Engineers","Research, Design, and Consulting Services","Industrial engineers","17-2112","Line item","257.9","283",0.2,0.2,25.1,9.7,19.7,"Line item","17-2112","detailed","279,550",1.3,44.05,"91,630",0.4,27.15,33.5,41.84,52.19,"63.63","56,470","69,690",131,"108,560","132,340",NA,NA
"228",228,"Green Increased Demand","49-9041.00","Industrial Machinery Mechanics","Manufacturing","Industrial machinery mechanics","49-9041","Line item","346.9","370.1",0.2,0.2,23.2,6.7,33,"Line item","49-9041","detailed","362,440",0.9,25.96,"54,000",0.2,16.19,20,25.16,30.65,"37.59","33,670","41,610",72,"63,740","78,190",NA,NA
"229",229,"Green Increased Demand","11-3051.00","Industrial Production Managers","Manufacturing","Industrial production managers","Nov-51","Line item","170.6","169.7",0.1,0.1,-0.9,-0.5,11.6,"Line item","Nov-50","broad","181,310",0.7,54.51,"113,370",0.3,30.51,38.72,49.7,64.45,"82.76","63,470","80,530",5,"134,060","172,150",NA,NA
"230",230,"Green Increased Demand","11-3051.00","Industrial Production Managers","Manufacturing","Industrial production managers","Nov-51","Line item","170.6","169.7",0.1,0.1,-0.9,-0.5,11.6,"Line item","Nov-51","detailed","181,310",0.7,54.51,"113,370",0.3,30.51,38.72,49.7,64.45,"82.76","63,470","80,530",5,"134,060","172,150",NA,NA
"231",231,"Green Increased Demand","17-2111.01","Industrial Safety and Health Engineers","Manufacturing",NA,NA,NA,"25.9","28.1",0,0,2.2,8.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.85,NA,NA,NA,NA,135,NA,NA,NA,NA
"232",232,"Green Increased Demand","17-2111.01","Industrial Safety and Health Engineers","Research, Design, and Consulting Services",NA,NA,NA,"25.9","28.1",0,0,2.2,8.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.85,NA,NA,NA,NA,135,NA,NA,NA,NA
"233",233,"Green Increased Demand","53-7051.00","Industrial Truck and Tractor Operators","Green Construction",NA,NA,NA,"549.9","585.9",0.4,0.3,36.1,6.6,65.9,NA,"53-7050","broad","604,130",1.1,17.54,"36,480",0.3,11.98,13.8,16.71,20.37,"24.82","24,910","28,710",28,"42,360","51,620",NA,NA
"234",234,"Green Increased Demand","53-7051.00","Industrial Truck and Tractor Operators","Green Construction",NA,NA,NA,"549.9","585.9",0.4,0.3,36.1,6.6,65.9,NA,"53-7051","detailed","604,130",1.1,17.54,"36,480",0.3,11.98,13.8,16.71,20.37,"24.82","24,910","28,710",28,"42,360","51,620",NA,NA
"235",235,"Green Increased Demand","53-7051.00","Industrial Truck and Tractor Operators","Transportation",NA,NA,NA,"549.9","585.9",0.4,0.3,36.1,6.6,65.9,NA,"53-7050","broad","604,130",1.1,17.54,"36,480",0.3,11.98,13.8,16.71,20.37,"24.82","24,910","28,710",28,"42,360","51,620",NA,NA
"236",236,"Green Increased Demand","53-7051.00","Industrial Truck and Tractor Operators","Transportation",NA,NA,NA,"549.9","585.9",0.4,0.3,36.1,6.6,65.9,NA,"53-7051","detailed","604,130",1.1,17.54,"36,480",0.3,11.98,13.8,16.71,20.37,"24.82","24,910","28,710",28,"42,360","51,620",NA,NA
"237",237,"Green Increased Demand","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","Energy Efficiency",NA,NA,NA,"30.9","31.3",0,0,0.4,1.3,3.3,NA,"47-2131","detailed","31,840",4.6,20.23,"42,070",1.2,12.04,14.91,18.5,23.75,"30.31","25,050","31,020",36,"49,400","63,050",NA,NA
"238",238,"Green Increased Demand","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","Green Construction",NA,NA,NA,"30.9","31.3",0,0,0.4,1.3,3.3,NA,"47-2131","detailed","31,840",4.6,20.23,"42,070",1.2,12.04,14.91,18.5,23.75,"30.31","25,050","31,020",36,"49,400","63,050",NA,NA
"239",239,"Green Increased Demand","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","Green Construction",NA,NA,NA,"2,628.40","2,828.10",1.7,1.7,199.7,7.6,388.4,NA,"53-7062","detailed","2,893,180",0.7,14.85,"30,890",0.2,9.95,11.31,13.59,17.29,"21.97","20,700","23,520",19,"35,960","45,700",NA,NA
"240",240,"Green Increased Demand","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","Manufacturing",NA,NA,NA,"2,628.40","2,828.10",1.7,1.7,199.7,7.6,388.4,NA,"53-7062","detailed","2,893,180",0.7,14.85,"30,890",0.2,9.95,11.31,13.59,17.29,"21.97","20,700","23,520",19,"35,960","45,700",NA,NA
"241",241,"Green Increased Demand","53-4011.00","Locomotive Engineers","Transportation","Locomotive engineers","53-4011","Line item","38.8","37.7",0,0,-1.1,-2.8,3,"Line item","53-4011","detailed","34,850",6.5,32.17,"66,920",1.3,22.21,26.27,29.86,38.2,"47.06","46,200","54,630",97,"79,460","97,890",NA,NA
"242",242,"Green Increased Demand","19-2032.00","Materials Scientists","Manufacturing","Materials scientists","19-2032","Line item","7.9","8.5",0,0,0.6,7.1,0.8,"Line item","19-2032","detailed","7,730",5.2,49.25,"102,450",1.6,25.27,33.85,47.98,62.24,"76.91","52,560","70,400",144,"129,470","159,970",NA,NA
"243",243,"Green Increased Demand","19-2032.00","Materials Scientists","Research, Design, and Consulting Services","Materials scientists","19-2032","Line item","7.9","8.5",0,0,0.6,7.1,0.8,"Line item","19-2032","detailed","7,730",5.2,49.25,"102,450",1.6,25.27,33.85,47.98,62.24,"76.91","52,560","70,400",144,"129,470","159,970",NA,NA
"244",244,"Green Increased Demand","49-9044.00","Millwrights","Manufacturing","Millwrights","49-9044","Line item","39.5","43.4",0,0,3.9,9.8,4,"Line item","49-9044","detailed","43,810",2.8,27.04,"56,250",0.7,16.39,20.46,26.47,33.06,"38.78","34,090","42,550",80,"68,760","80,660",NA,NA
"245",245,"Green Increased Demand","51-9023.00","Mixing and Blending Machine Setters, Operators, and Tenders","Manufacturing",NA,NA,NA,"187.7","176.2",0.1,0.1,-11.6,-6.2,19,NA,"51-9023","detailed","128,600",2.1,18.92,"39,360",0.5,11.83,14.3,17.89,22.69,"28.15","24,600","29,740",31,"47,190","58,550",NA,NA
"246",246,"Green Increased Demand","11-9121.00","Natural Sciences Managers","Environment Protection","Natural sciences managers","21-Nov","Line item","56.7","62.3",0,0,5.6,9.9,5.2,"Line item","20-Nov","broad","60,260",2,67.16,"139,680",1.1,31.25,44.44,59.55,79.76,"#","65,000","92,430",14,"165,900","#",NA,NA
"247",247,"Green Increased Demand","11-9121.00","Natural Sciences Managers","Environment Protection","Natural sciences managers","21-Nov","Line item","56.7","62.3",0,0,5.6,9.9,5.2,"Line item","21-Nov","detailed","60,260",2,67.16,"139,680",1.1,31.25,44.44,59.55,79.76,"#","65,000","92,430",14,"165,900","#",NA,NA
"248",248,"Green Increased Demand","29-9011.00","Occupational Health and Safety Specialists","Research, Design, and Consulting Services",NA,NA,NA,"83.7","90.5",0.1,0.1,6.8,8.1,5,NA,"29-9011","detailed","88,390",1,36.03,"74,940",0.3,20.41,26.95,35.11,43.76,"52.17","42,450","56,060",117,"91,030","108,520",NA,NA
