Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2016,6.7,Green Increased Demand,19-2043.00,Hydrologists,"Research, Design, and Consulting Services",0.7
2016,2.7,Green Enhanced Skills,17-1011.00,"Architects, Except Landscape and Naval",Green Construction,0.2
2016,2.7,Green Enhanced Skills,17-1011.00,"Architects, Except Landscape and Naval","Research, Design, and Consulting Services",0.2
2016,36.1,Green Enhanced Skills,51-8013.00,Power Plant Operators,Energy and Carbon Capture and Storage,0.5
2016,36.1,Green Enhanced Skills,51-8013.00,Power Plant Operators,Green Construction,0.5
2016,36.1,Green Enhanced Skills,51-8013.00,Power Plant Operators,Renewable Energy Generation,0.5
2016,"1,813.50",Green Enhanced Skills,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Manufacturing,94.1
2016,"1,813.50",Green Enhanced Skills,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Research, Design, and Consulting Services",94.1
2016,344,Green New & Emerging,41-4011.07,Solar Sales Representatives and Assessors,Renewable Energy Generation,37
2016,42,Green New & Emerging,19-3099.01,Transportation Planners,GOVT and Regulatory,4.2
2016,42,Green New & Emerging,19-3099.01,Transportation Planners,"Research, Design, and Consulting Services",4.2
2016,42,Green New & Emerging,19-3099.01,Transportation Planners,Transportation,4.2
2016,296.1,Green Enhanced Skills,13-2051.00,Financial Analysts,Efficiency,32.2
2016,296.1,Green Enhanced Skills,13-2051.00,Financial Analysts,GOVT and Regulatory,32.2
2016,296.1,Green Enhanced Skills,13-2051.00,Financial Analysts,Green Construction,32.2
2016,296.1,Green Enhanced Skills,13-2051.00,Financial Analysts,"Research, Design, and Consulting Services",32.2
2016,54.7,Green Increased Demand,51-8012.00,Power Distributors and Dispatchers,Renewable Energy Generation,-0.6
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,Green Construction,32.2
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,Green Construction,32.2
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,Renewable Energy Generation,32.2
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,Renewable Energy Generation,32.2
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,"Research, Design, and Consulting Services",32.2
2016,303.5,Green Enhanced Skills,17-2051.00,Civil Engineers,"Research, Design, and Consulting Services",32.2
2016,304,Green New & Emerging,17-2051.01,Transportation Engineers,"Research, Design, and Consulting Services",25.9
2016,304,Green New & Emerging,17-2051.01,Transportation Engineers,Transportation,25.9
2016,257.9,Green Increased Demand,17-2112.00,Industrial Engineers,"Research, Design, and Consulting Services",25.1
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Efficiency,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Efficiency,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Green Construction,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Green Construction,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Renewable Energy Generation,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Renewable Energy Generation,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,"Research, Design, and Consulting Services",25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,"Research, Design, and Consulting Services",25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Transportation,25.3
2016,288.8,Green Enhanced Skills,17-2141.00,Mechanical Engineers,Transportation,25.3
2016,289,Green New & Emerging,17-2141.02,Automotive Engineers,"Research, Design, and Consulting Services",21.2
2016,289,Green New & Emerging,17-2141.02,Automotive Engineers,Transportation,21.2
2016,289,Green New & Emerging,17-2141.01,Fuel Cell Engineers,Transportation,21.2
2016,289,Green New & Emerging,17-2141.01,Fuel Cell Engineers,"Research, Design, and Consulting Services",21.2
2016,53.8,Green Enhanced Skills,17-2081.00,Environmental Engineers,Environment Protection,4.5
2016,53.8,Green Enhanced Skills,17-2081.00,Environmental Engineers,Environment Protection,4.5
2016,53.8,Green Enhanced Skills,17-2081.00,Environmental Engineers,GOVT and Regulatory,4.5
2016,53.8,Green Enhanced Skills,17-2081.00,Environmental Engineers,GOVT and Regulatory,4.5
2016,54,Green New & Emerging,17-2081.01,Water/Wastewater Engineers,Environment Protection,4
2016,271.9,Green Enhanced Skills,13-2052.00,Personal Financial Advisors,"Research, Design, and Consulting Services",40.4
2016,25.9,Green Increased Demand,17-2111.01,Industrial Safety and Health Engineers,Manufacturing,2.2
2016,25.9,Green Increased Demand,17-2111.01,Industrial Safety and Health Engineers,"Research, Design, and Consulting Services",2.2
2016,287,Green New & Emerging,15-1199.05,Geographic Information Systems Technicians,"Research, Design, and Consulting Services",22.4
2016,287,Green New & Emerging,15-1199.04,Geospatial Information Scientists and Technologists,"Research, Design, and Consulting Services",22.4
2016,32,Green Enhanced Skills,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Environment Protection,4.5
2016,32,Green Enhanced Skills,19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Design, and Consulting Services",4.5
2016,403.8,Green Enhanced Skills,11-9021.00,Construction Managers,Environment Protection,44.8
2016,403.8,Green Enhanced Skills,11-9021.00,Construction Managers,Environment Protection,44.8
2016,403.8,Green Enhanced Skills,11-9021.00,Construction Managers,Green Construction,44.8
2016,403.8,Green Enhanced Skills,11-9021.00,Construction Managers,Green Construction,44.8
2016,10.4,Green Enhanced Skills,19-2021.00,Atmospheric and Space Scientists,"Research, Design, and Consulting Services",1.3
2016,10.4,Green Enhanced Skills,19-2021.00,Atmospheric and Space Scientists,"Research, Design, and Consulting Services",1.3
2016,10.4,Green Enhanced Skills,19-2021.00,Atmospheric and Space Scientists,Environment Protection,1.3
2016,10.4,Green Enhanced Skills,19-2021.00,Atmospheric and Space Scientists,Environment Protection,1.3
2016,7,Green Enhanced Skills,51-8011.00,Nuclear Power Reactor Operators,Renewable Energy Generation,-0.7
2016,115.5,Green Enhanced Skills,11-3071.02,Storage and Distribution Managers,Renewable Energy Generation,7.8
2016,115.5,Green Enhanced Skills,11-3071.01,Transportation Managers,Transportation,7.8
2016,116,Green New & Emerging,11-3071.03,Logistics Managers,Manufacturing,9.7
2016,116,Green New & Emerging,11-3071.03,Logistics Managers,"Research, Design, and Consulting Services",9.7
2016,116,Green New & Emerging,11-3071.03,Logistics Managers,Transportation,9.7
2016,188.3,Green Enhanced Skills,17-2071.00,Electrical Engineers,Efficiency,16.2
2016,188.3,Green Enhanced Skills,17-2071.00,Electrical Engineers,Green Construction,16.2
2016,188.3,Green Enhanced Skills,17-2071.00,Electrical Engineers,Renewable Energy Generation,16.2
2016,188.3,Green Enhanced Skills,17-2071.00,Electrical Engineers,"Research, Design, and Consulting Services",16.2
2016,133,Green New & Emerging,17-2199.01,Biochemical Engineers,Manufacturing,8.5
2016,133,Green New & Emerging,17-2199.01,Biochemical Engineers,"Research, Design, and Consulting Services",8.5
2016,133,Green New & Emerging,17-2199.03,Energy Engineers,Efficiency,9.5
2016,133,Green New & Emerging,17-2199.03,Energy Engineers,Green Construction,9.5
2016,133,Green New & Emerging,17-2199.03,Energy Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.04,Manufacturing Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.04,Manufacturing Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.05,Mechatronics Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.05,Mechatronics Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.06,Microsystems Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.06,Microsystems Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.09,Nanosystems Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.09,Nanosystems Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.07,Photonics Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.07,Photonics Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.08,Robotics Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.08,Robotics Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.11,Solar Energy Systems Engineers,Renewable Energy Generation,9.5
2016,133,Green New & Emerging,17-2199.02,Validation Engineers,Manufacturing,9.5
2016,133,Green New & Emerging,17-2199.02,Validation Engineers,"Research, Design, and Consulting Services",9.5
2016,133,Green New & Emerging,17-2199.10,Wind Energy Engineers,Renewable Energy Generation,9.5
2016,7.9,Green Increased Demand,19-2032.00,Materials Scientists,Manufacturing,0.6
2016,7.9,Green Increased Demand,19-2032.00,Materials Scientists,"Research, Design, and Consulting Services",0.6
2016,"2,263.10",Green Enhanced Skills,11-1021.00,General and Operations Managers,Agriculture and Forestry,205.2
2016,"2,263.10",Green Enhanced Skills,11-1021.00,General and Operations Managers,Agriculture and Forestry,205.2
2016,"2,263.10",Green Enhanced Skills,11-1021.00,General and Operations Managers,Efficiency,205.2
2016,"2,263.10",Green Enhanced Skills,11-1021.00,General and Operations Managers,Efficiency,205.2
2016,136.3,Green Enhanced Skills,17-2072.00,"Electronics Engineers, Except Computer","Research, Design, and Consulting Services",5.1
2016,136.3,Green Enhanced Skills,17-2072.00,"Electronics Engineers, Except Computer",Transportation,5.1
2016,170.6,Green Increased Demand,11-3051.00,Industrial Production Managers,Manufacturing,-0.9
2016,170.6,Green Increased Demand,11-3051.00,Industrial Production Managers,Manufacturing,-0.9
2016,171,Green New & Emerging,11-3051.03,Biofuels Production Managers,Renewable Energy Generation,11.6
2016,171,Green New & Emerging,11-3051.04,Biomass Power Plant Managers,Renewable Energy Generation,11.6
2016,171,Green New & Emerging,11-3051.02,Geothermal Production Managers,Renewable Energy Generation,11.6
2016,171,Green New & Emerging,11-3051.06,Hydroelectric Production Managers,Renewable Energy Generation,11.6
2016,171,Green New & Emerging,11-3051.05,Methane/Landfill Gas Collection System Operators,Renewable Energy Generation,11.6
2016,21,Green New & Emerging,19-3011.01,Environmental Economists,Environment Protection,1.6
2016,32.7,Green Increased Demand,17-2041.00,Chemical Engineers,"Research, Design, and Consulting Services",2.5
2016,32.7,Green Increased Demand,17-2041.00,Chemical Engineers,"Research, Design, and Consulting Services",2.5
2016,24,Green New & Emerging,19-2099.01,Remote Sensing Scientists and Technologists,"Research, Design, and Consulting Services",2
2016,992,Green New & Emerging,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environment Protection,79.2
2016,992,Green New & Emerging,11-9199.02,Compliance Managers,GOVT and Regulatory,79.2
2016,992,Green New & Emerging,11-9199.01,Regulatory Affairs Managers,GOVT and Regulatory,79.2
2016,992,Green New & Emerging,11-9199.04,Supply Chain Managers,Manufacturing,79.2
2016,992,Green New & Emerging,11-9199.04,Supply Chain Managers,"Research, Design, and Consulting Services",79.2
2016,992,Green New & Emerging,11-9199.04,Supply Chain Managers,Transportation,79.2
2016,992,Green New & Emerging,11-9199.09,Wind Energy Operations Managers,Renewable Energy Generation,79.2
2016,992,Green New & Emerging,11-9199.10,Wind Energy Project Managers,Renewable Energy Generation,79.2
2016,17.7,Green Enhanced Skills,17-2161.00,Nuclear Engineers,GOVT and Regulatory,0.7
2016,17.7,Green Enhanced Skills,17-2161.00,Nuclear Engineers,GOVT and Regulatory,0.7
2016,17.7,Green Enhanced Skills,17-2161.00,Nuclear Engineers,"Research, Design, and Consulting Services",0.7
2016,17.7,Green Enhanced Skills,17-2161.00,Nuclear Engineers,"Research, Design, and Consulting Services",0.7
2016,425,Green Increased Demand,15-1133.00,"Software Developers, Systems Software","Research, Design, and Consulting Services",47.1
2016,69.6,Green Enhanced Skills,17-2011.00,Aerospace Engineers,Transportation,4.2
2016,69.6,Green Enhanced Skills,17-2011.00,Aerospace Engineers,Transportation,4.2
2016,69.6,Green Enhanced Skills,17-2011.00,Aerospace Engineers,"Research, Design, and Consulting Services",4.2
2016,69.6,Green Enhanced Skills,17-2011.00,Aerospace Engineers,"Research, Design, and Consulting Services",4.2
2016,31,Green New & Emerging,11-2011.01,Green Marketers,"Research, Design, and Consulting Services",3.4
2016,56.7,Green Increased Demand,11-9121.00,Natural Sciences Managers,Environment Protection,5.6
2016,56.7,Green Increased Demand,11-9121.00,Natural Sciences Managers,Environment Protection,5.6
2016,57,Green New & Emerging,11-9121.02,Water Resource Specialists,Environment Protection,5.2
2016,218.3,Green Enhanced Skills,11-2021.00,Marketing Managers,"Research, Design, and Consulting Services",22.1
2016,180.1,Green Enhanced Skills,11-9041.00,Architectural and Engineering Managers,"Research, Design, and Consulting Services",9.9
2016,180.1,Green Enhanced Skills,11-9041.00,Architectural and Engineering Managers,"Research, Design, and Consulting Services",9.9
2016,180.1,Green Enhanced Skills,11-9041.00,Architectural and Engineering Managers,Environment Protection,9.9
2016,180.1,Green Enhanced Skills,11-9041.00,Architectural and Engineering Managers,Environment Protection,9.9
2016,180,Green New & Emerging,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Renewable Energy Generation,13.6
2016,309,Green New & Emerging,11-1011.03,Chief Sustainability Officers,GOVT and Regulatory,20
2016,15,Green Enhanced Skills,19-4041.02,Geological Sample Test Technicians,Renewable Energy Generation,2.5
2016,15,Green Enhanced Skills,19-4041.02,Geological Sample Test Technicians,"Research, Design, and Consulting Services",2.5
2016,15,Green Enhanced Skills,19-4041.01,Geophysical Data Technicians,"Research, Design, and Consulting Services",NA
2016,137,Green Enhanced Skills,17-3023.03,Electrical Engineering Technicians,Manufacturing,2.7
2026,62.4,Green Increased Demand,45-4011.00,Forest and Conservation Workers,Environment Protection,
2026,62.4,Green Increased Demand,45-4011.00,Forest and Conservation Workers,Environment Protection,
2026,"2,828.10",Green Increased Demand,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Green Construction,
2026,"2,828.10",Green Increased Demand,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Manufacturing,
2026,133.5,Green Increased Demand,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Green Construction,
2026,295.4,Green New & Emerging,51-9199.01,Recycling and Reclamation Workers,Recycling and Waste Reduction,
2026,41.4,Green Increased Demand,47-3012.00,Helpers--Carpenters,Green Construction,
