Year,Job Count,Category,Code,Occupation,Sectors,Change.Number
2026,23.1,Green New & Emerging,47-2231.00,Solar Photovoltaic Installers,Renewable Energy Generation,
2026,205.5,Green Increased Demand,47-2051.00,Cement Masons and Concrete Finishers,Green Construction,
2026,98.6,Green New & Emerging,43-5011.01,Freight Forwarders,Transportation,
2026,404.1,Green Enhanced Skills,51-4041.00,Machinists,Manufacturing,
2026,404.1,Green Enhanced Skills,51-4041.00,Machinists,Manufacturing,
2026,404.1,Green Enhanced Skills,51-4041.00,Machinists,Renewable Energy Generation,
2026,404.1,Green Enhanced Skills,51-4041.00,Machinists,Renewable Energy Generation,
2026,"1,980.10",Green Enhanced Skills,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Transportation,
2026,16.3,Green Increased Demand,45-2011.00,Agricultural Inspectors,Agriculture and Forestry,
2026,16.3,Green Increased Demand,45-2011.00,Agricultural Inspectors,Agriculture and Forestry,
